1699190170.275083 client started (48655): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1699190170.275126 on Darwin 22.6.0 Darwin Kernel Version 22.6.0: Fri Sep 15 13:39:52 PDT 2023; root:xnu-8796.141.3.700.8~1/RELEASE_X86_64
1699190170.276053 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1699190170.279434 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279438 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279443 sending message 112 to peer 0x7f97ba831000 (10 bytes)
1699190170.279449 sending message 112 to peer 0x7f97ba831000 (10 bytes)
1699190170.279454 sending message 112 to peer 0x7f97ba831000 (10 bytes)
1699190170.279459 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279463 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279468 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279472 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279477 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279481 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279486 sending message 112 to peer 0x7f97ba831000 (10 bytes)
1699190170.279491 sending message 112 to peer 0x7f97ba831000 (11 bytes)
1699190170.279495 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279500 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279504 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279509 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279513 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279518 sending message 112 to peer 0x7f97ba831000 (11 bytes)
1699190170.279523 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279527 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279532 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279536 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279541 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279545 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279550 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279555 sending message 112 to peer 0x7f97ba831000 (10 bytes)
1699190170.279559 sending message 112 to peer 0x7f97ba831000 (9 bytes)
1699190170.279564 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279568 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279573 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279577 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279582 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279587 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279599 sending message 112 to peer 0x7f97ba831000 (9 bytes)
1699190170.279604 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279608 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279613 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279618 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279622 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279627 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279631 sending message 112 to peer 0x7f97ba831000 (11 bytes)
1699190170.279636 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279641 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279645 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279650 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279654 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279659 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279663 sending message 112 to peer 0x7f97ba831000 (11 bytes)
1699190170.279668 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279673 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279677 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279682 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279686 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279691 sending message 112 to peer 0x7f97ba831000 (21 bytes)
1699190170.279696 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279701 sending message 112 to peer 0x7f97ba831000 (9 bytes)
1699190170.279705 sending message 112 to peer 0x7f97ba831000 (6 bytes)
1699190170.279710 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279715 sending message 112 to peer 0x7f97ba831000 (10 bytes)
1699190170.279719 sending message 112 to peer 0x7f97ba831000 (24 bytes)
1699190170.279724 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279730 sending message 112 to peer 0x7f97ba831000 (9 bytes)
1699190170.279735 sending message 112 to peer 0x7f97ba831000 (70 bytes)
1699190170.279740 sending message 112 to peer 0x7f97ba831000 (69 bytes)
1699190170.279744 sending message 112 to peer 0x7f97ba831000 (12 bytes)
1699190170.279749 sending message 112 to peer 0x7f97ba831000 (10 bytes)
1699190170.279753 sending message 112 to peer 0x7f97ba831000 (10 bytes)
1699190170.279758 sending message 112 to peer 0x7f97ba831000 (24 bytes)
1699190170.279763 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279767 sending message 112 to peer 0x7f97ba831000 (10 bytes)
1699190170.279772 sending message 112 to peer 0x7f97ba831000 (10 bytes)
1699190170.279776 sending message 112 to peer 0x7f97ba831000 (10 bytes)
1699190170.279781 sending message 112 to peer 0x7f97ba831000 (13 bytes)
1699190170.279785 sending message 112 to peer 0x7f97ba831000 (15 bytes)
1699190170.279790 sending message 112 to peer 0x7f97ba831000 (5 bytes)
1699190170.279796 sending message 104 to peer 0x7f97ba831000 (0 bytes)
1699190170.279802 sending message 110 to peer 0x7f97ba831000 (0 bytes)
1699190170.279807 sending message 107 to peer 0x7f97ba831000 (4 bytes)
1699190170.279811 sending message 105 to peer 0x7f97ba831000 (15 bytes)
1699190170.279816 sending message 105 to peer 0x7f97ba831000 (20 bytes)
1699190170.279821 sending message 105 to peer 0x7f97ba831000 (22 bytes)
1699190170.279826 sending message 105 to peer 0x7f97ba831000 (11 bytes)
1699190170.279830 sending message 105 to peer 0x7f97ba831000 (19 bytes)
1699190170.279835 sending message 105 to peer 0x7f97ba831000 (22 bytes)
1699190170.279839 sending message 105 to peer 0x7f97ba831000 (61 bytes)
1699190170.279844 sending message 105 to peer 0x7f97ba831000 (17 bytes)
1699190170.279849 sending message 105 to peer 0x7f97ba831000 (21 bytes)
1699190170.279853 sending message 105 to peer 0x7f97ba831000 (19 bytes)
1699190170.279858 sending message 105 to peer 0x7f97ba831000 (27 bytes)
1699190170.279863 sending message 105 to peer 0x7f97ba831000 (8 bytes)
1699190170.279875 sending message 105 to peer 0x7f97ba831000 (15 bytes)
1699190170.279880 sending message 105 to peer 0x7f97ba831000 (32 bytes)
1699190170.279885 sending message 105 to peer 0x7f97ba831000 (96 bytes)
1699190170.279890 sending message 105 to peer 0x7f97ba831000 (21 bytes)
1699190170.279894 sending message 105 to peer 0x7f97ba831000 (11 bytes)
1699190170.279899 sending message 105 to peer 0x7f97ba831000 (360 bytes)
1699190170.279904 sending message 105 to peer 0x7f97ba831000 (31 bytes)
1699190170.279909 sending message 105 to peer 0x7f97ba831000 (15 bytes)
1699190170.279914 sending message 105 to peer 0x7f97ba831000 (8 bytes)
1699190170.279918 sending message 105 to peer 0x7f97ba831000 (66 bytes)
1699190170.279923 sending message 105 to peer 0x7f97ba831000 (20 bytes)
1699190170.279927 sending message 105 to peer 0x7f97ba831000 (18 bytes)
1699190170.279932 sending message 105 to peer 0x7f97ba831000 (26 bytes)
1699190170.279937 sending message 105 to peer 0x7f97ba831000 (60 bytes)
1699190170.279941 sending message 105 to peer 0x7f97ba831000 (57 bytes)
1699190170.279946 sending message 105 to peer 0x7f97ba831000 (43 bytes)
1699190170.279951 sending message 105 to peer 0x7f97ba831000 (13 bytes)
1699190170.279955 sending message 105 to peer 0x7f97ba831000 (54 bytes)
1699190170.279960 sending message 105 to peer 0x7f97ba831000 (12 bytes)
1699190170.279965 sending message 105 to peer 0x7f97ba831000 (14 bytes)
1699190170.279969 sending message 105 to peer 0x7f97ba831000 (19 bytes)
1699190170.279974 sending message 105 to peer 0x7f97ba831000 (29 bytes)
1699190170.279978 sending message 105 to peer 0x7f97ba831000 (43 bytes)
1699190170.279983 sending message 105 to peer 0x7f97ba831000 (32 bytes)
1699190170.279987 sending message 105 to peer 0x7f97ba831000 (22 bytes)
1699190170.279992 sending message 106 to peer 0x7f97ba831000 (0 bytes)
1699190170.280062 sending message 200 to peer 0x7f97ba831000 (4 bytes)
1699190170.280070 client loop enter
1699190170.280273 peer 0x7f97ba831000 message 303
1699190170.280289 open write file 2 -
1699190170.280309 sending message 305 to peer 0x7f97ba831000 (8 bytes)
1699190170.280329 write check file 2
1699190170.280367 peer 0x7f97ba831000 message 304
1699190170.280374 write 58 to file 2
1699190170.280386 peer 0x7f97ba831000 message 203
1699190170.280391 file 2 58 bytes left
1699190170.280404 write check file 2
1699190170.280410 client loop exit
